,Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
16,average,vegan,male,high,frequently,wood,public,electric,extra large,frequently,14.0,2.0,216.0,6.42,3006.0,2.41
17,average,vegan,female,low,rarely,gas,private,petrol,small,frequently,19.0,4.0,383.0,0.79,507.0,9.45
18,average,omnivore,other,moderate,daily,electricity,bike,petrol,extra large,frequently,3.0,4.0,303.0,6.19,1118.0,3.82
19,underweight,vegan,female,moderate,frequently,solar,walk,hybrid,extra large,never,3.0,4.0,286.0,2.58,4420.0,1.58
20,overweight,vegetarian,other,low,twice a day,electricity,hybrid,electric,small,never,6.0,3.0,471.0,10.0,1209.0,2.45
21,athletic,pescetarian,other,high,twice a day,gas,private,electric,extra large,never,0.0,5.0,384.0,0.83,4637.0,4.06
22,overweight,vegan,other,high,frequently,wood,private,petrol,small,never,19.0,6.0,162.0,3.54,2604.0,2.11
23,average,pescetarian,female,high,twice a day,solar,walk,electric,medium,frequently,9.0,2.0,438.0,4.9,3331.0,5.511804247645762
24,average,pescetarian,female,moderate,rarely,wood,public,petrol,large,rarely,18.0,3.0,452.0,7.23,2356.0,9.62
25,overweight,pescetarian,male,moderate,twice a day,wood,walk,petrol,medium,never,3.0,1.0,358.0,11.85,1785.0,7.82
26,overweight,vegan,male,moderate,frequently,gas,public,petrol,large,rarely,0.0,6.0,70.0,1.55,3136.0,6.54
27,overweight,vegan,female,moderate,daily,wood,private,diesel,extra large,frequently,0.0,4.0,350.0,4.47,3208.0,8.19
28,average,pescetarian,female,moderate,twice a day,gas,walk,petrol,extra large,frequently,2.0,6.0,580.0,8.17,263.0,2.39
29,average,vegetarian,female,high,twice a day,wood,private,hybrid,small,rarely,17.0,5.0,521.0,4.49,2833.0,4.4
30,athletic,pescetarian,female,low,daily,wood,walk,electric,medium,frequently,2.0,3.0,63.0,2.89,1838.0,2.92
31,athletic,vegetarian,other,high,frequently,solar,private,diesel,medium,rarely,2.0,3.0,271.0,9.78,1696.0,5.17
32,average,pescetarian,other,high,daily,gas,private,electric,extra large,never,12.0,3.0,317.0,2.25,3311.0,2.58
33,overweight,omnivore,other,moderate,twice a day,electricity,private,hybrid,medium,frequently,0.0,6.0,527.0,4.04,1789.0,8.35
34,overweight,pescetarian,female,low,frequently,electricity,bike,diesel,large,frequently,12.0,2.0,52.0,2.89,1391.0,8.21
35,athletic,pescetarian,other,low,rarely,electricity,walk,electric,extra large,rarely,4.0,7.0,168.0,11.53,2253.0,4.31
36,average,vegan,other,high,frequently,solar,bike,diesel,small,rarely,16.0,7.0,153.0,10.04,572.0,7.51
37,athletic,vegetarian,male,low,frequently,solar,private,petrol,small,rarely,10.0,6.0,401.0,5.53,4754.0,4.83
38,athletic,omnivore,male,high,rarely,wood,hybrid,petrol,extra large,rarely,9.0,3.0,515.0,10.08,1473.0,3.56
39,underweight,vegetarian,other,high,frequently,wood,public,electric,extra large,rarely,14.0,6.0,422.0,8.19,1131.0,3.48
40,underweight,omnivore,other,high,twice a day,electricity,walk,hybrid,small,frequently,12.0,4.0,560.0,4.28,4666.0,5.41
41,underweight,pescetarian,other,high,twice a day,wood,walk,diesel,large,rarely,9.0,3.0,542.0,2.51,3252.0,1.11
42,overweight,vegan,female,moderate,twice a day,wood,public,diesel,medium,never,8.0,7.0,76.0,4.33,743.0,7.4
43,average,vegan,male,low,twice a day,solar,bike,electric,extra large,rarely,6.0,6.0,207.0,6.22,2852.0,4.51
44,average,vegetarian,male,moderate,rarely,electricity,public,petrol,extra large,frequently,9.0,1.0,230.0,2.4,3351.0,2.26
45,average,vegan,male,moderate,twice a day,gas,hybrid,diesel,large,never,8.0,3.0,350.0,3.28,3146.0,6.71
46,average,vegetarian,other,moderate,frequently,electricity,private,petrol,small,frequently,12.0,5.0,249.0,7.76,3435.0,7.79
47,underweight,vegetarian,female,high,daily,solar,public,petrol,extra large,rarely,15.0,5.0,494.0,8.69,1540.0,2.06
48,overweight,omnivore,male,high,rarely,electricity,public,hybrid,large,frequently,1.0,7.0,316.0,5.47,712.0,1.93
49,overweight,vegetarian,male,moderate,rarely,gas,private,petrol,extra large,frequently,7.0,7.0,127.0,11.64,2274.0,4.49
50,underweight,omnivore,female,moderate,daily,wood,walk,petrol,large,rarely,6.0,1.0,251.0,3.66,3293.0,6.84
51,overweight,vegan,other,low,twice a day,electricity,hybrid,diesel,large,frequently,1.0,5.0,277.0,10.94,4170.0,6.23
52,underweight,vegetarian,other,moderate,twice a day,solar,public,hybrid,small,frequently,0.0,7.0,472.0,3.29,4614.0,9.77
53,average,vegetarian,male,high,frequently,solar,public,hybrid,medium,frequently,3.0,2.0,73.0,8.83,4032.0,4.95
54,underweight,pescetarian,male,moderate,twice a day,electricity,walk,electric,small,never,5.0,7.0,594.0,11.98,2443.0,4.14
55,average,vegetarian,female,low,twice a day,wood,hybrid,electric,large,frequently,1.0,4.0,455.0,10.0,767.0,7.84
56,average,vegetarian,male,low,frequently,wood,private,electric,medium,rarely,6.0,4.0,453.0,5.7,4248.0,9.61
57,athletic,pescetarian,female,moderate,twice a day,solar,private,hybrid,medium,rarely,9.0,2.0,60.0,1.5,1990.0,9.03
58,underweight,pescetarian,male,low,daily,solar,bike,petrol,small,frequently,8.0,5.0,164.0,11.6,1619.0,4.71
59,athletic,vegan,male,low,twice a day,gas,hybrid,hybrid,small,rarely,1.0,1.0,114.0,8.65,2469.0,6.68
60,underweight,vegetarian,male,high,daily,wood,hybrid,petrol,extra large,never,14.0,1.0,411.0,10.06,1971.0,2.29
61,underweight,vegan,other,low,daily,electricity,public,electric,medium,rarely,14.0,4.0,255.0,6.87,481.0,7.43
62,athletic,vegan,female,low,daily,solar,bike,electric,large,rarely,15.0,7.0,482.0,5.74,1364.0,4.15
63,athletic,pescetarian,female,moderate,twice a day,solar,private,petrol,extra large,frequently,1.0,6.0,115.0,0.94,4433.0,3.0
64,underweight,omnivore,other,high,twice a day,solar,hybrid,petrol,extra large,never,16.0,7.0,479.0,0.74,1476.0,2.22
65,overweight,vegan,other,low,rarely,solar,hybrid,electric,extra large,never,10.0,1.0,128.0,6.99,1245.0,3.32
66,average,omnivore,other,moderate,frequently,wood,walk,petrol,extra large,rarely,17.0,7.0,484.0,2.27,2242.0,5.59
67,athletic,vegetarian,female,moderate,frequently,solar,private,hybrid,small,rarely,0.0,2.0,454.0,8.1,4111.0,9.06
68,average,pescetarian,male,moderate,rarely,wood,walk,electric,medium,frequently,11.0,4.0,215.0,11.49,193.0,3.35
69,overweight,vegetarian,other,moderate,daily,gas,bike,hybrid,extra large,frequently,5.0,3.0,549.0,4.27,2416.0,1.5
70,overweight,vegetarian,other,moderate,frequently,gas,hybrid,electric,medium,never,17.0,7.0,326.0,8.84,1865.0,8.02
71,overweight,pescetarian,other,moderate,rarely,electricity,bike,diesel,large,frequently,16.0,2.0,466.0,10.94,3073.0,8.03
72,athletic,vegetarian,male,low,daily,solar,walk,hybrid,medium,never,16.0,2.0,584.0,10.12,1783.0,1.6
73,overweight,pescetarian,male,high,rarely,electricity,private,diesel,small,never,1.0,1.0,121.0,1.01,1197.0,2.64
74,athletic,omnivore,other,high,twice a day,wood,hybrid,electric,medium,rarely,17.0,6.0,261.0,8.13,2583.0,2.44
75,overweight,vegetarian,male,moderate,twice a day,electricity,private,hybrid,large,never,14.0,1.0,215.0,3.63,3262.0,5.15
76,average,pescetarian,other,moderate,daily,electricity,bike,hybrid,large,never,0.0,7.0,480.0,10.83,1441.0,3.24
77,average,vegan,male,high,daily,solar,public,hybrid,extra large,never,19.0,1.0,373.0,2.05,3607.0,7.73
78,underweight,vegetarian,female,low,twice a day,wood,private,petrol,large,never,13.0,3.0,263.0,2.67,4624.0,6.56
79,average,omnivore,female,moderate,frequently,wood,private,hybrid,extra large,rarely,12.0,2.0,586.0,5.9,3331.0,7.1
80,underweight,pescetarian,male,high,frequently,solar,private,hybrid,small,frequently,11.0,5.0,417.0,3.97,3828.0,4.4
81,average,vegetarian,female,high,twice a day,wood,hybrid,diesel,small,frequently,7.0,4.0,234.0,4.31,923.0,5.49
82,athletic,vegetarian,female,moderate,frequently,gas,bike,hybrid,small,never,6.0,1.0,229.0,5.09,1284.0,7.11
83,average,vegetarian,female,high,twice a day,solar,bike,petrol,medium,frequently,7.0,1.0,132.0,1.73,3003.0,5.75
84,underweight,omnivore,other,low,rarely,solar,hybrid,hybrid,large,frequently,17.0,4.0,491.0,1.15,1690.0,1.68
85,underweight,pescetarian,male,high,rarely,solar,private,diesel,large,never,14.0,3.0,200.0,2.32,479.0,4.26
86,overweight,vegan,male,moderate,rarely,gas,private,hybrid,large,never,6.0,1.0,167.0,6.41,4787.0,9.74
87,athletic,vegan,male,moderate,frequently,wood,public,hybrid,extra large,frequently,0.0,3.0,121.0,4.82,1562.0,5.51
88,average,vegan,female,high,rarely,gas,private,diesel,extra large,rarely,5.0,3.0,382.0,7.97,643.0,4.69
89,overweight,pescetarian,other,high,daily,gas,walk,electric,small,frequently,15.0,7.0,528.0,8.32,2383.0,9.0
90,average,vegan,male,moderate,daily,gas,private,hybrid,large,never,13.0,5.0,446.0,7.57,4528.0,6.97
91,average,omnivore,female,low,rarely,electricity,public,electric,medium,frequently,7.0,3.0,225.0,2.73,4662.0,4.84
92,overweight,pescetarian,other,high,daily,wood,walk,diesel,medium,frequently,9.0,5.0,64.0,7.47,4490.0,6.35
93,overweight,vegetarian,other,low,rarely,wood,public,diesel,small,rarely,16.0,4.0,194.0,6.76,4204.0,4.03
94,overweight,omnivore,male,low,rarely,solar,public,electric,extra large,frequently,14.0,3.0,535.0,7.65,1129.0,8.23
95,overweight,vegetarian,male,moderate,twice a day,solar,bike,petrol,extra large,frequently,13.0,4.0,310.0,2.99,1693.0,7.45
96,overweight,vegan,female,moderate,rarely,electricity,hybrid,petrol,extra large,never,19.0,3.0,437.0,11.86,567.0,2.96
97,average,omnivore,male,moderate,daily,gas,public,diesel,small,rarely,10.0,5.0,590.0,11.85,4301.0,3.77
98,overweight,pescetarian,female,low,frequently,solar,private,petrol,small,frequently,5.0,5.0,194.0,10.55,3599.0,1.03
99,athletic,omnivore,other,moderate,rarely,wood,bike,petrol,large,frequently,3.0,4.0,390.0,2.86,1051.0,8.12
100,underweight,vegetarian,other,moderate,twice a day,solar,walk,diesel,large,never,4.0,2.0,136.0,9.03,4396.0,1.81
101,overweight,pescetarian,other,low,daily,gas,hybrid,hybrid,large,never,10.0,2.0,353.0,1.51,4958.0,6.15
102,overweight,omnivore,other,low,twice a day,electricity,bike,hybrid,medium,rarely,11.0,2.0,252.0,5.976738412253479,376.0,8.62
103,average,omnivore,male,low,rarely,gas,public,hybrid,medium,rarely,10.0,3.0,306.0,2.69,3832.0,9.7
104,overweight,omnivore,male,low,rarely,solar,bike,petrol,large,rarely,17.0,2.0,282.0,5.29,4685.0,3.87
105,overweight,omnivore,female,high,rarely,electricity,private,electric,medium,never,6.0,4.0,423.0,7.72,3197.0,2.65
106,overweight,pescetarian,female,moderate,rarely,electricity,private,petrol,medium,never,0.0,2.0,147.0,4.4,1507.0,9.88
107,average,vegetarian,female,high,daily,gas,private,hybrid,extra large,never,15.0,4.0,133.0,2.86,3816.0,5.511804247645762
108,overweight,omnivore,female,low,frequently,solar,hybrid,diesel,extra large,never,17.0,4.0,215.0,9.51,1533.0,2.35
109,underweight,pescetarian,female,low,rarely,gas,bike,diesel,small,rarely,11.0,6.0,207.0,9.75,2101.0,9.32
110,average,vegetarian,other,low,twice a day,solar,bike,diesel,extra large,rarely,10.0,3.0,548.0,5.73,4826.0,9.43
111,underweight,omnivore,other,low,daily,solar,public,petrol,large,rarely,7.0,6.0,146.0,3.59,3080.0,5.31
112,average,vegetarian,other,low,daily,wood,walk,electric,extra large,never,0.0,5.0,359.0,8.51,664.0,6.76
113,overweight,vegetarian,female,moderate,daily,electricity,private,hybrid,medium,never,15.0,3.0,321.0,10.8,2328.0,4.76
114,underweight,pescetarian,other,high,twice a day,solar,walk,diesel,medium,never,1.0,3.0,332.0,9.65,2692.0,9.34
115,average,vegetarian,other,high,frequently,gas,walk,hybrid,large,never,5.0,1.0,448.0,6.74,4069.0,8.52
116,athletic,pescetarian,other,moderate,twice a day,gas,private,hybrid,large,frequently,16.0,2.0,95.0,0.72,831.0,5.63
117,overweight,omnivore,other,moderate,twice a day,wood,private,petrol,extra large,rarely,16.0,2.0,434.0,11.03,1809.0,5.02
118,average,vegetarian,male,moderate,twice a day,wood,public,diesel,extra large,rarely,1.0,4.0,551.0,10.9,4007.0,7.18
119,athletic,vegetarian,female,high,rarely,wood,hybrid,petrol,extra large,frequently,18.0,5.0,448.0,3.07,2190.0,6.98
120,average,vegan,female,high,rarely,electricity,private,hybrid,small,rarely,8.0,6.0,362.0,8.24,1271.0,1.73
121,athletic,omnivore,male,low,twice a day,wood,walk,hybrid,small,never,2.0,2.0,375.0,4.48,249.0,3.51
122,overweight,omnivore,other,high,twice a day,electricity,public,hybrid,large,rarely,9.0,2.0,565.0,2.64,2396.0,4.95
123,underweight,vegan,other,high,rarely,wood,bike,diesel,extra large,never,4.0,7.0,59.0,0.13,1304.0,6.05
124,athletic,vegan,other,moderate,rarely,electricity,public,diesel,medium,never,9.0,5.0,362.0,4.38,466.0,2.72
125,average,pescetarian,female,high,frequently,solar,private,diesel,small,never,13.0,2.0,360.0,2.53,2566.0,3.88
126,overweight,pescetarian,female,low,twice a day,wood,private,hybrid,large,frequently,10.0,1.0,369.0,0.28,3472.0,5.54
127,athletic,vegetarian,female,high,daily,electricity,hybrid,hybrid,small,rarely,18.0,7.0,469.0,6.32,2408.0,9.11
128,average,vegetarian,female,moderate,frequently,solar,public,electric,extra large,never,15.0,2.0,140.0,2.79,2290.0,4.49
129,average,vegetarian,female,moderate,daily,wood,private,diesel,medium,rarely,13.0,1.0,62.0,7.07,3936.0,3.65
130,average,vegetarian,male,low,frequently,solar,walk,hybrid,medium,frequently,13.0,3.0,124.0,5.02,3515.0,8.68
131,athletic,pescetarian,female,low,twice a day,wood,walk,hybrid,large,rarely,3.0,3.0,422.0,4.1,2093.0,3.09
132,athletic,omnivore,other,high,daily,gas,public,electric,small,rarely,7.0,1.0,378.0,4.51,3415.0,6.44
133,athletic,vegetarian,female,low,rarely,electricity,hybrid,electric,extra large,rarely,6.0,6.0,59.0,6.89,4291.0,4.72
134,underweight,omnivore,male,low,frequently,gas,public,hybrid,extra large,rarely,2.0,6.0,499.0,10.01,3635.0,9.16
135,athletic,vegetarian,other,moderate,daily,electricity,hybrid,diesel,medium,frequently,13.0,4.0,404.0,8.03,1204.0,7.18
136,athletic,vegan,male,moderate,frequently,gas,walk,petrol,medium,rarely,10.0,1.0,483.0,1.33,1195.0,8.99
137,athletic,vegetarian,other,high,twice a day,wood,private,petrol,extra large,never,18.0,7.0,380.0,6.8,402.0,6.94
138,underweight,vegetarian,female,high,daily,gas,bike,petrol,extra large,frequently,3.0,4.0,566.0,9.23,3773.0,6.06
139,athletic,vegetarian,male,high,daily,wood,private,diesel,small,rarely,3.0,5.0,460.0,3.73,4463.0,4.75
140,average,pescetarian,other,high,daily,electricity,walk,hybrid,large,rarely,7.0,5.0,56.0,7.54,1674.0,6.51
141,athletic,vegan,female,moderate,frequently,wood,walk,petrol,small,never,14.0,7.0,291.0,0.01,3294.0,8.08
142,average,vegetarian,other,high,rarely,gas,private,petrol,small,frequently,15.0,1.0,150.0,11.28,596.0,4.88
143,average,vegetarian,male,high,rarely,solar,private,diesel,extra large,frequently,3.0,7.0,549.0,3.21,149.0,6.75
144,average,omnivore,male,low,rarely,electricity,walk,hybrid,small,never,9.0,4.0,279.0,10.87,2694.0,4.99
145,underweight,vegan,male,high,twice a day,solar,private,hybrid,small,rarely,4.0,3.0,337.0,2.6,905.0,1.87
146,underweight,vegetarian,male,low,daily,solar,bike,diesel,small,rarely,3.0,1.0,323.0,10.75,2928.0,6.05
147,underweight,omnivore,female,moderate,rarely,solar,bike,petrol,medium,frequently,1.0,1.0,118.0,6.66,498.0,1.59
148,athletic,omnivore,other,high,rarely,solar,public,hybrid,large,frequently,17.0,4.0,373.0,2.19,2486.0,6.37
149,average,pescetarian,female,low,daily,solar,bike,hybrid,large,rarely,7.0,5.0,136.0,3.83,2441.0,8.55
150,underweight,omnivore,male,high,twice a day,gas,walk,petrol,medium,never,14.0,6.0,126.0,9.96,4803.0,2.4
151,underweight,vegetarian,other,low,frequently,wood,walk,diesel,extra large,never,3.0,7.0,122.0,11.43,3248.0,6.37
152,athletic,pescetarian,male,high,frequently,wood,public,petrol,extra large,rarely,12.0,3.0,117.0,10.52,3261.0,1.53
153,underweight,pescetarian,female,moderate,frequently,solar,hybrid,electric,large,never,13.0,4.0,267.0,10.46,4289.0,3.44
154,athletic,vegetarian,female,moderate,daily,gas,public,hybrid,large,frequently,8.0,7.0,295.0,0.05,359.0,2.13
155,overweight,vegan,female,low,twice a day,solar,hybrid,diesel,extra large,rarely,5.0,4.0,144.0,5.38,4281.0,1.22
156,underweight,omnivore,other,low,daily,solar,hybrid,petrol,small,never,11.0,7.0,523.0,10.04,803.0,8.61
157,overweight,pescetarian,other,moderate,frequently,electricity,private,petrol,large,never,12.0,3.0,51.0,0.42,3815.0,4.69
158,athletic,vegan,male,high,rarely,gas,bike,diesel,small,frequently,5.0,6.0,543.0,8.33,2783.0,2.36
159,average,vegetarian,other,low,rarely,solar,hybrid,hybrid,large,frequently,19.0,7.0,598.0,6.01,3554.0,6.72
160,underweight,omnivore,other,moderate,rarely,wood,private,diesel,medium,rarely,18.0,6.0,115.0,9.48,4906.0,9.11
161,athletic,omnivore,female,low,frequently,electricity,public,electric,large,frequently,19.0,1.0,141.0,3.13,3883.0,5.51
162,average,pescetarian,male,moderate,twice a day,solar,public,diesel,medium,frequently,19.0,1.0,233.0,10.59,4076.0,8.46
163,average,omnivore,female,moderate,frequently,solar,hybrid,electric,small,rarely,7.0,2.0,248.0,3.56,3192.0,8.58
164,overweight,omnivore,male,low,daily,solar,private,hybrid,extra large,never,4.0,7.0,421.0,11.41,3896.0,7.75
165,athletic,omnivore,male,low,twice a day,gas,walk,petrol,small,frequently,7.0,7.0,135.0,7.69,795.0,3.48
166,average,omnivore,other,moderate,rarely,solar,bike,electric,small,rarely,12.0,7.0,361.0,2.36,3267.0,5.21
167,underweight,vegetarian,female,high,twice a day,wood,hybrid,electric,small,frequently,12.0,3.0,425.0,9.31,185.0,2.31
168,underweight,vegan,other,moderate,twice a day,electricity,walk,diesel,medium,frequently,4.0,7.0,469.0,6.42,3278.0,9.28
169,overweight,vegetarian,other,high,frequently,gas,bike,diesel,large,never,13.0,4.0,403.0,4.89,4641.0,6.93
170,average,vegetarian,other,high,twice a day,electricity,walk,petrol,extra large,frequently,17.0,2.0,309.0,5.67,684.0,1.05
171,athletic,pescetarian,male,high,frequently,wood,private,hybrid,small,frequently,14.0,2.0,148.0,4.79,3658.0,8.2
172,underweight,omnivore,female,low,daily,solar,hybrid,electric,small,frequently,0.0,2.0,208.0,8.49,4126.0,1.13
173,average,vegetarian,female,moderate,twice a day,gas,walk,petrol,small,never,6.0,1.0,466.0,3.11,4914.0,6.51
174,average,omnivore,other,moderate,twice a day,solar,walk,electric,medium,frequently,9.0,5.0,438.0,6.14,2099.0,4.96
175,overweight,vegetarian,male,high,twice a day,gas,walk,petrol,medium,rarely,1.0,2.0,476.0,9.07,1423.0,2.88
176,underweight,vegetarian,female,high,rarely,solar,hybrid,diesel,medium,rarely,12.0,4.0,284.0,1.72,4076.0,7.79
177,underweight,pescetarian,female,high,frequently,wood,private,diesel,large,never,2.0,6.0,444.0,3.5,2099.0,9.99
178,athletic,vegan,other,moderate,frequently,wood,private,hybrid,large,never,7.0,1.0,81.0,2.56,2287.0,7.33
179,underweight,vegan,male,high,rarely,solar,walk,diesel,small,never,11.0,6.0,416.0,6.86,2263.0,8.27
180,athletic,vegetarian,other,moderate,frequently,wood,private,petrol,extra large,frequently,3.0,5.0,434.0,4.94,3838.0,9.22
181,underweight,pescetarian,female,moderate,daily,solar,bike,electric,medium,never,7.0,5.0,92.0,3.89,4509.0,4.97
182,overweight,omnivore,male,low,rarely,gas,private,petrol,large,rarely,0.0,2.0,258.0,4.29,3760.0,6.75
183,underweight,omnivore,other,high,frequently,wood,walk,hybrid,large,rarely,2.0,2.0,332.0,5.63,982.0,5.79
184,athletic,vegetarian,female,high,daily,gas,bike,diesel,extra large,frequently,14.0,1.0,125.0,5.02,3536.0,3.85
185,athletic,vegan,other,high,frequently,solar,hybrid,diesel,medium,frequently,14.0,2.0,62.0,8.48,923.0,1.58
186,overweight,pescetarian,other,low,rarely,gas,public,electric,large,frequently,11.0,7.0,400.0,8.31,1786.0,8.72
187,underweight,vegan,other,high,frequently,electricity,private,hybrid,extra large,frequently,0.0,1.0,596.0,0.32,3419.0,1.92
188,underweight,omnivore,male,moderate,daily,solar,bike,hybrid,extra large,rarely,10.0,5.0,586.0,8.52,1109.0,6.06
189,overweight,vegan,female,high,daily,wood,public,diesel,medium,rarely,18.0,7.0,161.0,2.66,4888.0,1.28
190,underweight,omnivore,female,moderate,daily,wood,hybrid,hybrid,medium,never,4.0,4.0,360.0,5.04,4592.0,5.82
191,underweight,pescetarian,female,moderate,frequently,electricity,public,petrol,medium,frequently,16.0,4.0,85.0,2.67,3340.0,1.51
192,athletic,pescetarian,female,moderate,rarely,solar,hybrid,hybrid,small,rarely,1.0,7.0,204.0,1.43,2754.0,7.37
193,underweight,vegetarian,male,moderate,frequently,solar,walk,petrol,large,rarely,12.0,3.0,445.0,7.01,4155.0,6.34
194,underweight,vegetarian,other,high,twice a day,solar,walk,petrol,extra large,never,2.0,6.0,251.0,11.41,1524.0,7.47
195,overweight,vegan,female,low,rarely,solar,hybrid,petrol,small,rarely,12.0,3.0,587.0,4.46,2765.0,6.09
196,overweight,pescetarian,male,low,twice a day,gas,public,diesel,medium,rarely,7.0,3.0,222.0,8.14,3122.0,7.71
197,average,pescetarian,other,moderate,frequently,solar,private,petrol,large,frequently,12.0,4.0,569.0,5.44,1291.0,4.3
198,athletic,vegetarian,male,high,rarely,gas,public,electric,large,never,2.0,2.0,471.0,2.18,3925.0,3.95
199,underweight,omnivore,male,low,twice a day,gas,public,hybrid,small,frequently,8.0,7.0,288.0,11.05,3665.0,5.45
200,underweight,vegan,female,high,frequently,wood,private,petrol,extra large,frequently,1.0,1.0,254.0,5.4,3699.0,5.54
201,average,vegan,female,low,rarely,solar,public,electric,small,never,7.0,4.0,448.0,0.1,3434.0,4.05
202,underweight,vegetarian,other,moderate,daily,gas,public,diesel,large,never,0.0,3.0,558.0,5.48,1329.0,5.46
203,athletic,pescetarian,other,moderate,daily,solar,bike,diesel,extra large,frequently,14.0,3.0,123.0,0.07,582.0,2.91
204,average,vegetarian,female,moderate,daily,electricity,hybrid,diesel,small,frequently,7.0,6.0,534.0,9.53,1978.0,6.86
205,athletic,vegetarian,male,low,twice a day,gas,walk,diesel,small,frequently,7.0,2.0,202.0,4.41,3620.0,9.75
206,average,vegetarian,female,high,twice a day,wood,hybrid,hybrid,medium,frequently,6.0,3.0,384.0,7.38,4398.0,6.44
207,average,vegetarian,other,moderate,frequently,solar,public,diesel,large,never,19.0,3.0,86.0,9.2,2188.0,5.27
208,overweight,omnivore,male,high,daily,wood,private,hybrid,medium,rarely,12.0,1.0,556.0,0.33,988.0,9.14
209,athletic,omnivore,male,high,twice a day,gas,private,electric,medium,never,6.0,2.0,530.0,6.22,649.0,6.93
210,underweight,pescetarian,male,moderate,daily,gas,walk,diesel,extra large,rarely,6.0,5.0,529.0,7.66,1103.0,3.67
211,underweight,vegetarian,female,low,frequently,wood,walk,diesel,extra large,never,10.0,5.0,497.0,5.65,1584.0,6.59
212,athletic,omnivore,female,moderate,rarely,solar,walk,electric,large,frequently,1.0,3.0,593.0,3.68,1620.0,7.71
213,underweight,pescetarian,other,moderate,twice a day,gas,private,electric,extra large,rarely,10.0,3.0,449.0,5.56,4163.0,7.94
214,underweight,vegetarian,male,low,twice a day,electricity,public,hybrid,large,never,18.0,7.0,414.0,4.72,3108.0,1.07
215,athletic,vegan,male,high,rarely,wood,walk,petrol,extra large,never,0.0,1.0,349.0,7.34,1465.0,7.89
216,average,omnivore,female,low,twice a day,gas,walk,hybrid,medium,never,16.0,5.0,264.0,5.63,148.0,8.19
217,athletic,pescetarian,other,low,frequently,solar,private,petrol,large,frequently,0.0,2.0,395.0,1.56,1219.0,2.58
218,average,vegan,other,moderate,twice a day,gas,public,hybrid,medium,never,12.0,2.0,171.0,1.01,4557.0,8.66
219,underweight,vegetarian,male,low,twice a day,solar,walk,petrol,extra large,never,5.0,4.0,376.0,1.96,1482.0,7.41
220,underweight,vegetarian,female,low,rarely,solar,public,diesel,medium,frequently,4.0,6.0,291.0,0.79,2835.0,6.58
221,underweight,vegetarian,male,low,frequently,gas,bike,petrol,extra large,rarely,1.0,4.0,326.0,3.04,3274.0,7.92
222,overweight,omnivore,female,high,daily,electricity,walk,electric,small,rarely,9.0,2.0,169.0,0.84,2032.0,3.28
223,average,pescetarian,other,high,daily,solar,walk,electric,medium,frequently,18.0,4.0,88.0,7.24,786.0,2.39
224,overweight,vegan,male,moderate,rarely,wood,private,petrol,large,rarely,6.0,4.0,394.0,5.34,2680.0,1.62
